CPT Missing Sheds — Assumed RFID Mapping
Counting DB date: 17/07/2026

Tag, shed, breed, type, and kid/adult values come from the CPT Counting DB DB tab.

SUMMARY
Missing sheds: 21
Synthetic RFID rows: 407
Kid: 407 | Adult: 0
Sheep: 298 | Goat: 109

ASSUMED_RFID	TAG	SHED	TYPE	BREED	KID_ADULT
ASSUMED-RFID-0001	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0002	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0003	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0004	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0005	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0006	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0007	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0008	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0009	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0010	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0011	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0012	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0013	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0014	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0015	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0016	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0017	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0018	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0019	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0020	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0021	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0022	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0023	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0024	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0025	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0026	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0027	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0028	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0029	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0030	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0031	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0032	F2-Male	Castro 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0033	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0034	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0035	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0036	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0037	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0038	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0039	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0040	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0041	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0042	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0043	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0044	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0045	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0046	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0047	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0048	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0049	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0050	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0051	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0052	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0053	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0054	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0055	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0056	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0057	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0058	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0059	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0060	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0061	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0062	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0063	F2-Male	Castro 2	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0064	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0065	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0066	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0067	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0068	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0069	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0070	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0071	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
ASSUMED-RFID-0072	F2-Male	Godel 2 - Part 1	Sheep	Anantapur Sheep	Kid
